state_id,district_id_2001,district_id_shp2001,Households worked (lakhs),Percent rural households worked,Person-days generated (lakhs),Person-days per household worked,Person-days per rural household,Percent SC person-days,Percent ST person-days,Percent female person-days,Average wage
1,1,101000000000000,0.36,35.31836,19.91,55.30555,19.53301,0,1,15,130.3
1,2,102000000000000,0.234,37.58428,12.854,50.30629,19.2342,0.4,13.6,17.4,129.984
1,3,103000000000000,0.1,42.32368,5.485,46.86842,20.47159,1,25,27.5,129.17
1,4,104000000000000,0.155,34.3562,7.025,41.78333,14.32469,0.5,16.5,21.5,129.08
1,5,105000000000000,0.15,26.77401,7.515,52.04299,14.55819,0,4,5.5,129.71
1,6,106000000000000,0.34,42.8201,20.37,59.91177,27.13638,0,4,33.5,130.795
1,7,107000000000000,0.09,60.38242,3.73,41.44444,25.02516,0,83,52,130.82
1,8,108000000000000,0.15,92.89651,7.94,52.93333,49.17322,0,97,55,130.89
1,9,109000000000000,0.4,72.13394,25.97,63.16323,48.03661,5,9,27,130.7933
1,10,110000000000000,0.265,44.86461,12.78,47.87483,22.14382,15,14.5,18.5,130.825
1,11,111000000000000,0.41,49.37082,27.64,67.41463,33.28316,0,34,15,131.11
1,12,112000000000000,0.51,41.58343,26.22,51.41177,21.37877,4,37,13,130.63
1,13,113000000000000,0.29,31.45621,14.67,49.01431,14.75319,25.66667,8,12.66667,130.9633
1,14,114000000000000,0.225,28.46301,9.025,41.26667,11.70935,20.5,9,18,130.96
2,1,201000000000000,0.65,68.71326,37.45,57.61539,39.58941,20,26,46,132.59
2,2,202000000000000,0.93,29.21047,44.5,47.84946,13.97705,26,6,71,128.26
2,3,203000000000000,0.03,44.95055,1.12,37.33334,16.78154,6,93,67,144.3
2,4,204000000000000,0.39,46.23154,16.77,43,19.87956,30,1,58,128.96
2,5,205000000000000,1.32,64.78623,73.02,55.31818,35.83856,29,1,75,128.04
2,6,206000000000000,0.25,25.4803,12.53,50.12,12.77073,32,1,74,127.81
2,7,207000000000000,0.17,16.91509,8.73,51.35294,8.686394,40,2,60,128.52
2,8,208000000000000,0.23,30.78488,12.37,53.78261,16.55691,25,3,56,128.7
2,9,209000000000000,0.23,23.83173,10.81,47,11.20091,37,1,41,127.47
2,10,210000000000000,0.35,41.13437,17.12,48.91429,20.12058,35,1,28,130.17
2,11,211000000000000,0.53,40.81507,22.96,43.32076,17.68139,29,0,49,128.02
2,12,212000000000000,0.06,30.03604,3.38,56.33334,16.92031,41,58,75,160.59
3,1,301000000000000,0.115,4.084117,2.905,26.04762,1.020304,43,0,27,165.68
3,2,302000000000000,0.07,3.508167,1.61,23.26667,0.8099054,85.5,0,17,165.955
3,3,303000000000000,0.05,4.642095,1.15,23,1.067682,84,0,50,165.81
3,4,304000000000000,0.05,2.339926,1.14,22.8,0.5335031,93,0,54,165.91
3,5,305000000000000,0.14,5.28639,3.14,22.42857,1.185662,58,0,44,165.45
3,6,306000000000000,0.03,2.919253,1.25,41.66667,1.216356,79,0,60,163.23
3,7,307000000000000,0.035,3.654023,1.29,41.5,1.355268,48,0,31.5,165.065
3,8,308000000000000,0.04,5.063483,1.36,34,1.721584,82,0,68,165.93
3,9,309000000000000,0.22,7.834869,8.1,36.81818,2.884657,86,0,66,165.18
3,10,310000000000000,0.12,7.619473,3.76,28.18947,2.432429,92.5,0,55.5,165.455
3,11,311000000000000,0.1,3.610538,2.13,21.3,0.7690448,86,0,28,162.29
3,12,312000000000000,0.22,17.72421,4.71,21.40909,3.794593,93,0,69,166
3,13,313000000000000,0.1,13.03305,2.58,25.8,3.362527,94,0,61,156.94
3,14,314000000000000,0.19,11.09217,3.93,20.68421,2.294328,89,0,57,165.99
