state_id,district_id_2001,district_id_shp2001,Households worked (lakhs),Percent rural households worked,Person-days generated (lakhs),Person-days per household worked,Person-days per rural household,Percent SC person-days,Percent ST person-days,Percent female person-days,Average wage
1,1,1.01E+14,0.09,8.829589,2.79,31,2.737173,0,2,19,143.73
1,2,1.02E+14,0.072,10.70274,2.076,29.84154,4.016031,0.4,14,18.2,142.47
1,3,1.03E+14,0.045,11.72028,1.405,29.88889,5.612765,1,30,30,144.78
1,4,1.04E+14,0.055,6.150956,1.64,28.72727,3.876706,0.5,23.5,22,144.035
1,5,1.05E+14,0.045,6.48643,1.11,33.125,1.703038,0,2.5,7.5,136.065
1,6,1.06E+14,0.055,7.131492,1.9,33.75,2.659012,0,2.5,27,141.945
1,7,1.07E+14,0.03,20.12747,0.75,25,5.031868,0,88,56,143.13
1,8,1.08E+14,0.07,43.35171,1.39,19.85714,8.60841,0,97,56,144.91
1,9,1.09E+14,0.0133333,2.332328,0.4266666,34,0.7362697,4.333333,6.333333,20.33333,96.11666
1,10,1.1E+14,0.04,6.921293,1.0775,26.9375,1.916903,15.25,17.25,16.75,144.8675
1,11,1.11E+14,0,0,0,,0,0,0,0,145
1,12,1.12E+14,0,0,0.1,,0.0815361,4,38,13,145
1,13,1.13E+14,0.0333333,4.545439,0.81,24.58333,1.134244,30,8,13.66667,144.8233
1,14,1.14E+14,0.04,5.622621,0.88,22,1.359327,21,6.5,18.5,144.87
2,1,2.01E+14,0.34,35.94232,9.47,27.85294,10.01099,20,29,45,139.99
2,2,2.02E+14,0.69,21.67228,18.92,27.42029,5.942603,26,6,71,136.26
2,3,2.03E+14,0.01,14.98352,0.15,15,2.247528,5,95,61,134.16
2,4,2.04E+14,0.27,32.00645,7.19,26.62963,8.523199,30,1,58,136.42
2,5,2.05E+14,0.68,33.37473,15.44,22.70588,7.578025,29,1,75,134.77
2,6,2.06E+14,0.14,14.26897,3.76,26.85714,3.832238,30,1,75,134.4
2,7,2.07E+14,0.07,6.965035,1.55,22.14286,1.542258,44,2,65,136.59
2,8,2.08E+14,0.11,14.7232,3.62,32.90909,4.845273,27,4,53,136.79
2,9,2.09E+14,0.05,5.18081,1.17,23.4,1.21231,36,1,46,133.78
2,10,2.1E+14,0.2,23.50535,6.27,31.35,7.368928,33,2,31,136.65
2,11,2.11E+14,0.18,13.86172,4.4,24.44444,3.388421,34,0,52,136.57
2,12,2.12E+14,0.04,20.02403,1.19,29.75,5.957149,43,57,73,167.37
3,1,3.01E+14,0.035,1.235506,0.61,17.83333,0.2125433,44,0,35.5,183.945
3,2,3.02E+14,0.02,0.9302628,0.25,11,0.1193098,78,0,13,183.225
3,3,3.03E+14,0.02,1.856838,0.33,16.5,0.3063782,90,0,58,183.95
3,4,3.04E+14,0.01,0.4679851,0.12,12,0.0561582,94,0,59,184
3,5,3.05E+14,0.04,1.510397,0.6,15,0.2265596,65,0,56,183.96
3,6,3.06E+14,0.02,1.946169,0.48,24,0.4670805,85,0,68,181.95
3,7,3.07E+14,0.01,1.098492,0.25,25,0.2715718,48.5,0,38.5,183.9
3,8,3.08E+14,0.04,5.063483,0.67,16.75,0.8481335,84,0,68,184
3,9,3.09E+14,0.13,4.629695,2.57,19.76923,0.9152552,88,0,73,183.99
3,10,3.1E+14,0.065,4.307367,0.955,13.45833,0.6356909,94,0,65,183.76
3,11,3.11E+14,0,0,0.04,,0.0144422,61,0,39,181.81
3,12,3.12E+14,0.09,7.250814,1.08,12,0.8700977,93,0,74,183.95
3,13,3.13E+14,0.07,9.123137,1.16,16.57143,1.511834,95,0,69,184
3,14,3.14E+14,0.06,3.50279,0.72,12,0.4203349,85,0,66,184
3,15,3.15E+14,0.13,11.08912,3.29,25.30769,2.806401,88,0,44,182.22
3,16,3.16E+14,0.035,3.720283,0.44,11.65,0.4936619,92.5,0,66.5,184.14
3,17,3.17E+14,0.0466667,3.479606,0.8366666,18.62037,0.6185346,64,0,51,183.92
4,1,4.01E+14,0,0,0,,0,0,1,38,195.06
5,1,5.01E+14,0.07,11.30601,2.12,30.28571,3.424104,17,1,36,139.69
5,2,5.02E+14,0.02,2.691138,0.89,44.5,1.197556,19,3,34,135.08
5,3,5.03E+14,0.03,5.895995,0.56,18.66667,1.100586,13,0,49,142
5,4,5.04E+14,0.23,19.88054,4.19,18.21739,3.621716,9,0,65,141.51
5,5,5.05E+14,0.06,4.163428,1.96,32.66667,1.360053,26,25,22,141.92
5,6,5.06E+14,0.01,0.7343222,0.17,17,0.1248348,12,0,64,131.94
5,7,5.07E+14,0.23,23.71843,5.9,25.65217,6.084293,22,2,37,141.9
5,8,5.08E+14,0.105,11.34789,1.78,18.71667,2.097927,26,0.5,43,141.105
5,9,5.09E+14,0.15,11.97997,2.19,14.6,1.749076,18,0,45,140.28
5,10,5.1E+14,0.07,15.30356,2.57,36.71428,5.618591,14,0,32,141.9
5,11,5.11E+14,0.085,5.561749,2.54,28.72143,1.562702,22.5,7.5,29,141.905
5,12,5.12E+14,0.085,5.561749,2.54,28.72143,1.562702,22.5,7.5,29,141.905
5,13,5.13E+14,0.06,2.934315,2.06,34.33333,1.007448,37,0,12,140.37
6,1,6.01E+14,0.02,4.333319,0.41,20.5,0.8883303,34,0,17,214.07
6,2,6.02E+14,0.03,2.54881,0.63,21,0.53525,38,0,35,214.07
6,3,6.03E+14,0.05,3.658929,1.27,25.4,0.929368,41,0,31,213.99
6,4,6.04E+14,0.06,4.586314,2.05,34.16667,1.566991,39,0,46,218.32
6,5,6.05E+14,0.03,1.898506,0.57,19,0.3607161,54,0,39,213.57
6,6,6.06E+14,0.13,6.546018,2.69,20.69231,1.354522,57,0,52,218.28
6,7,6.07E+14,0.04,3.282024,1.32,33,1.083068,46,0,42,218.1
6,8,6.08E+14,0.02,1.066371,0.57,28.5,0.3039157,46,0,34,214.59
6,9,6.09E+14,0.08,4.191225,2.03,25.375,1.063523,58,0,39,215.61
6,10,6.1E+14,0.2,13.78008,3.82,19.1,2.631996,74,0,53,216.91
6,11,6.11E+14,0.21,11.44445,3.64,17.33333,1.983705,63,0,37,214.17
6,12,6.12E+14,0.34,15.06752,9.3,27.35294,4.121409,67,0,47,216.95
6,13,6.13E+14,0.11,4.433053,2.18,19.81818,0.8785505,46,0,41,210.47
6,14,6.14E+14,0.03,2.554278,0.99,33,0.8429119,58,0,40,214
6,15,6.15E+14,0.08,5.860677,2.49,31.125,1.824136,46,0,42,214.05
6,16,6.16E+14,0.06,4.078248,1.43,23.83333,0.9719824,22,0,31,213.88
6,17,6.17E+14,0.02,1.534931,0.46,23,0.3530342,44,0,42,214
6,18,6.18E+14,0.02,1.635458,0.815,35.5,0.6339046,28.5,0,39.5,214
6,19,6.19E+14,0.02,2.349167,0.56,28,0.5367019,26.5,0,36,213.775
7,1,7.01E+14,,,,,,,,,
7,2,7.02E+14,,,,,,,,,
7,3,7.03E+14,,,,,,,,,
7,4,7.04E+14,,,,,,,,,
7,5,7.05E+14,,,,,,,,,
7,6,7.06E+14,,,,,,,,,
7,7,7.07E+14,,,,,,,,,
7,8,7.08E+14,,,,,,,,,
7,9,7.09E+14,,,,,,,,,
8,1,8.01E+14,0.82,29.39848,24.97,30.45122,8.952195,58,0,62,118.92
8,2,8.02E+14,0.67,24.96628,18.54,27.67164,6.908579,50,0,66,120.7
8,3,8.03E+14,0.6,24.4927,19.51,32.51667,7.964208,20,1,52,110.66
8,4,8.04E+14,0.775,30.81061,26.005,33.36359,10.33304,27,1,56,107.41
8,5,8.05E+14,0.25,8.311143,8.7,34.8,2.892277,57,3,64,121.06
8,6,8.06E+14,0.285,7.609418,6.265,21.92659,1.667272,25,22,73,121.365
8,7,8.07E+14,0.37,9.128811,8.72,23.52997,2.177093,30.5,8.5,64,126.7
8,8,8.08E+14,0.16,9.865582,4.01,25.0625,2.472562,30,5,43,116.97
8,9,8.09E+14,0.265,11.2152,6.11,22.82589,2.593699,20.5,28.5,69,111.73
8,10,8.1E+14,0.41,19.89046,10.12,24.68293,4.909547,23,30,51,114.14
8,11,8.11E+14,0.285,7.609418,6.265,21.92659,1.667272,25,22,73,121.365
8,12,8.12E+14,0.59,11.61868,12.33,20.89831,2.428107,22,7,82,116.61
8,13,8.13E+14,0.28,8.11218,8.48,30.28571,2.456831,36,4,72,129.01
