state,ccode,pctfemalepersondays042011,pctfemalepersondays052011,pctfemalepersondays062011,pctfemalepersondays072011,pctfemalepersondays082011,pctfemalepersondays092011,pctfemalepersondays102011,pctfemalepersondays112011,pctfemalepersondays122011,pctfemalepersondays012012,pctfemalepersondays022012,pctfemalepersondays032012,pctfemalepersondays042012,pctfemalepersondays052012,pctfemalepersondays062012,pctfemalepersondays072012,pctfemalepersondays082012,pctfemalepersondays092012,pctfemalepersondays102012,pctfemalepersondays112012,pctfemalepersondays122012,pctfemalepersondays012013,pctfemalepersondays022013,pctfemalepersondays032013,pctfemalepersondays042013,pctfemalepersondays052013,pctfemalepersondays062013,pctfemalepersondays072013,pctfemalepersondays082013
National,0,54.71649,48.52029,48.41329,49.46444,49.09808,48.7274,45.42176,46.74483,46.55608,42.99425,48.39838,43.91917,52.87117,55.34049,54.85706,51.69202,51.30357,50.08582,51.00057,48.75095,49.58244,49.84575,49.0369,48.38787,44.04517,44.4588,53.47218,63.32561,61.2835
JAMMU AND KASHMIR,1,1.95,8.820032,12.94237,12.09503,13.00136,15.8102,14.09,14.81447,17.41361,16.87581,17.50236,20.0953,12.7,15.38826,16.51346,17.39187,17.45405,20.66505,22.11504,22.04214,21.81636,20.30167,20.26654,21.25163,17.16,15.87859,15.70289,17.07162,24.41927
HIMACHAL PRADESH,2,61.62,54.98659,57.85445,59.83771,60.21018,60.91901,59.34998,55.97693,61.18323,61.48825,61.40965,58.86958,64.16,62.91048,62.84455,44.06927,72.70242,65.15163,66.24969,63.02865,58.61916,62.21269,60.76475,57.39181,61.81,58.14176,61.79465,63.04174,61.92794
PUNJAB,3,45.98,46.71818,44.83799,48.25145,47.50869,44.22614,27.05941,34.44588,39.70423,45.39665,38.68538,43.14478,53.25999,48.36399,47.8368,50.29678,47.02583,42.38202,46.63801,43.76607,44.71888,43.14228,47.51956,48.98524,53.24,60.92626,58.24911,52.13109,44.57244
CHANDIGARH,4,,,,,,,,,,,,,,,82.14,20.08205,14.07422,19.7,,,,,0,36.36364,,37.5,39.11652,,
UTTARAKHAND,5,41.57,42.931,44.53959,41.4174,39.09874,35.01255,43.88513,42.89552,46.5341,48.28508,47.51217,46.04201,38.54,41.20242,43.83014,41.77654,44.50857,44.57766,41.37148,46.05426,47.6067,46.93552,47.597,48.5219,48.94,35.03452,39.80679,38.73108,30.27607
HARYANA,6,40.33,36.78381,37.00866,37.12733,36.58584,36.27218,35.35088,34.57809,32.74099,35.07818,35.97872,37.83215,39.6,40.08341,41.49239,41.16969,40.22229,41.42585,38.73944,38.22001,38.04139,38.99249,39.90495,40.09322,39.9,42.89114,44.68124,42.81801,41.73418
RAJASTHAN,8,68.7,70.02923,70.18838,69.58831,69.46494,66.38534,61.69066,62.90674,68.43475,70.36652,71.27041,68.67542,70.15,70.06857,70.30742,69.89813,64.76743,63.59202,60.27757,61.95961,67.89779,69.67196,70.00417,67.35497,67.59,67.33107,67.92831,68.56335,66.94643
UTTAR PRADESH,9,20.43,18.18441,17.93463,17.37541,17.38716,16.69319,16.37587,16.47161,16.9307,16.29346,17.5832,16.92005,20.24,20.0944,19.73362,18.32831,18.84226,16.97113,17.96895,18.82621,19.72303,20.96392,21.8532,21.93627,23.08,22.92196,22.72215,22.36374,21.63959
BIHAR,10,30.87,23.06051,26.36773,27.46142,28.3343,29.35259,26.22065,28.95866,30.03461,31.52012,30.63433,28.91421,34.49,30.67523,31.19724,29.44745,30.48985,30.45614,29.62719,30.212,30.17573,29.60705,30.86714,30.66092,33.28,33.98775,33.84845,33.28281,32.37542
SIKKIM,11,43,52.57509,50.62183,46.72891,47.7887,46.90227,45.45396,41.71036,46.71219,45.72876,44.82347,42.30936,44.26,47.82724,49.84093,47.44249,47.23987,47.56645,46.00595,43.88932,38.21287,44.33691,43.55914,43.81617,54.76,52.34745,50.55366,48.25911,46.96326
ARUNACHAL PRADESH,12,,,,,,25.47,25.26101,,,,,46.13126,,,,27.67,27.79696,35.49893,30.72555,31.31709,22.32644,27.43841,31.23742,25.81393,,,,,
NAGALAND,13,,,,,,,,,,22.49,43.92004,29.25072,,,36.53,27.81464,12.63551,25.00624,21.7974,27.82962,2.006537,25.7346,25.09011,24.59136,,,19.7,26.49304,28.34942
MANIPUR,14,,42.97,31.02407,28.10308,38.54849,39.80326,31.15005,32.5443,35.562,37.62519,36.95957,32.98218,55,48.02655,43.06128,48.46089,40.84701,30.64379,30.72629,30.02582,35.37428,36.00998,34.34821,37.94091,,,51.44,48.11602,46.606
MIZORAM,15,,6.05,8.616428,16.77107,23.80955,22.92213,30.84719,28.37009,23.32363,22.66212,20.09542,23.8653,,,,26.81,25.91816,22.97728,22.06389,20.47227,26.37425,20.91775,32.1084,21.82411,,,31,21.04699,28.8495
TRIPURA,16,42.41,37.80053,37.70649,38.92644,37.92668,37.97564,38.6252,38.70226,37.70087,38.2922,39.17952,40.05796,47.47,41.47324,41.04095,43.44427,41.52593,38.75689,39.38249,42.09565,40.79323,41.14796,40.33743,39.70467,71.97,44.97218,42.8995,46.37017,47.16727
MEGHALAYA,17,,62.05,42.07688,55.41,47.44147,44.55692,41.87411,39.94846,39.25368,37.86035,39.76444,42.76649,55.12,60.90342,45.65981,40.68123,40.72138,41.26305,40.64015,40.3295,38.57925,41.68829,37.7393,49.50329,,,54.65,51.29441,43.82948
ASSAM,18,20.75,24.71354,24.93105,25.10834,28.91118,24.51635,23.54125,25.33,23.90433,22.42734,24.14291,25.77219,21.99,19.49012,27.35258,23.09254,26.17868,27.85369,26.50193,24.66861,25.09255,27.82548,28.92045,27.32235,28.59,23.36937,24.59388,26.99779,25.75402
WEST BENGAL,19,35.19,34.17231,33.40266,33.11,32.19514,30.41178,30.81613,30.17337,31.03904,31.02511,32.31534,33.28704,32.37,33.60262,33.61306,32.87149,32.90162,32.31512,30.5051,33.07697,33.35432,33.06918,34.86074,35.81495,35.6,35.14422,35.5433,34.408,34.07408
JHARKHAND,20,31.22,30.43643,30.63704,30.64999,30.57826,31.06622,32.48811,31.53254,31.73208,31.28003,29.67211,32.49735,30.87,32.1133,31.83121,32.84424,34.01899,33.00232,31.72569,34.22436,33.05382,33.27347,32.48274,33.28481,31.76,30.66888,31.1259,31.10999,30.54877
ODISHA,21,40.8,39.74786,39.39528,39.69,38.34017,36.57877,35.88387,36.36844,36.80852,38.18533,38.57832,39.56337,39.46,38.61683,40.23883,36.14966,36.79604,32.20592,31.6545,32.13802,32.2073,32.99342,34.22962,33.90292,33.58,34.39102,33.42111,33.68658,31.64804
CHHATTISGARH,22,45.52,47.6046,47.79538,46.71021,40.99924,29.84131,33.38004,34.46631,41.45562,43.54339,44.32303,45.47617,48.38,48.82647,48.50645,47.2444,39.35108,58.17276,42.48462,40.86233,43.08035,45.42445,47.14511,47.60767,49.59,50.16536,49.05771,46.15452,41.98774
MADHYA PRADESH,23,41.4,41.47971,42.55165,43.24233,43.14405,42.06302,41.71146,41.88807,42.10592,42.56094,42.79412,42.99989,41.85,41.42813,43.08656,43.47864,42.0723,42.60043,42.67002,41.82457,42.05979,42.13911,42.21605,42.39344,39.3,40.25122,41.49256,40.52991,39.56196
GUJARAT,24,48.41,48.38406,47.46254,47.00513,45.35603,44.69314,43.48183,43.10287,43.334,43.43762,44.58727,42.70786,45.41,43.86085,43.13261,42.42809,41.0261,44.65394,40.84877,40.99523,42.05402,42.60568,42.28645,44.0279,50.07,48.94095,46.41502,43.47941,40.43124
DAMAN & DIU,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADRA & NAGAR HAVELI,26,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,
MAHARASHTRA,27,43.12,45.6195,45.20232,46.39082,48.7307,47.08,48.84929,45.15167,42.67046,43.44181,45.90539,45.89353,44.45,45.21,47.63019,46.40587,44.81158,43.72179,42.77624,42.84774,43.0688,42.96516,43.94677,44.27058,45.8,45.44724,47.75162,44.47752,39.77504
KARNATAKA,29,45.78,46.18438,46.09222,45.67669,45.14393,45.46446,45.48233,45.56,45.94374,46.09456,46.31512,45.93,47.54,49.08774,49.27756,47.16679,46.57805,46.49919,45.90364,45.99654,46.19923,46.13713,46.19927,46.03485,51.03,52.75485,50.26496,47.38336,46.63982
GOA,30,71.23,75.85674,73.63059,74.90366,76.02592,71.83916,78.32356,78.75509,78.76098,75.12858,76.54891,76.21407,77.14,77.57436,83.38473,82.64836,78.92849,83.2976,85.9279,79.96436,90.06749,,,78.14381,,45.21,67.00506,71.85292,69.19978
LAKSHADWEEP,31,,,,,56.99057,28.55798,32.21799,40.8271,49.65727,27.56228,46.96545,28.04788,17.1,16.65458,26.90502,23.98162,5.883951,9.994094,18.37653,29.86021,33.34682,35.29883,35.03309,44.82542,38.82,9.795843,51.1507,0.0600478,5.81317
KERALA,32,100,94.86509,94.37521,93.83266,93.63565,92.8308,92.55889,92.7025,92.5537,92.44762,93.01867,92.4468,95.67,94.45599,93.21735,92.14412,91.87125,92.15852,92.55999,92.67091,93.06707,93.35442,94.00293,93.43294,96.6,95.59372,94.86903,93.94855,93.52541
TAMIL NADU,33,82.08,77.30667,74.86036,75.16546,74.72742,76.64029,75.79305,74.80454,73.72452,71.73222,68.68372,72.77842,80.1,74.35566,72.79099,74.53128,74.65191,75.79085,74.90798,75.48328,76.70158,76.42606,74.83997,70.19273,,85.87,86.35698,84.56017,82.14419
PUDUCHERRY,34,,,,80.94352,79.02258,78.75507,79.80337,78.47302,81.09442,82.70003,82.95571,82.87598,86.2,82.86986,85.12493,84.09439,83.65427,84.53526,82.6798,82.96089,83.94942,,91.79395,86.258,,86.09,84.73247,85.27941,84.9156
ANDAMAN AND NICOBAR,35,78.4,,52.19339,49.44904,46.63671,48.5094,48.56577,38.54512,41.82573,44.59077,44.13746,46.59343,,46.84,41.48815,42.10435,54.43947,45.16479,40.3373,44.10293,53.36712,52.13041,47.0832,47.03487,,45.99,52.25568,46.47075,48.82
