state,ccode,householdsprovidedwork042011,householdsprovidedwork052011,householdsprovidedwork062011,householdsprovidedwork072011,householdsprovidedwork082011,householdsprovidedwork092011,householdsprovidedwork102011,householdsprovidedwork112011,householdsprovidedwork122011,householdsprovidedwork012012,householdsprovidedwork022012,householdsprovidedwork032012,householdsprovidedwork042012,householdsprovidedwork052012,householdsprovidedwork062012,householdsprovidedwork072012,householdsprovidedwork082012,householdsprovidedwork092012,householdsprovidedwork102012,householdsprovidedwork112012,householdsprovidedwork122012,householdsprovidedwork012013,householdsprovidedwork022013,householdsprovidedwork032013,householdsprovidedwork042013,householdsprovidedwork052013,householdsprovidedwork062013,householdsprovidedwork072013,householdsprovidedwork082013
National,0,2363431,5457179,7822833,4935299,3828193,2473573,2179440,2267028,2273479,2751921,2592592,6045577,5010303,7606858,7674425,5338983,3036220,2895320,1992857,1982972,1883102,2355682,2784225,181570,2604520,5165289,8027822,4232469,3100234
JAMMU AND KASHMIR,1,948,1666,7488,10146,16424,26041,33556,33300,38353,39207,50467,104021,7885,11252,18602,29461,31837,47551,50094,39527,47874,58307,80128,69673,3201,12132,17169,26494,33597
HIMACHAL PRADESH,2,5892,56027,84085,65343,57086,40431,28808,23485,24148,28388,24133,60415,21655,65640,102887,77096,40327,26917,29180,21979,26147,37141,40274,2605,28914,65552,72126,54121,51975
PUNJAB,3,21669,32858,43426,22832,20611,11176,4609,16210,15658,8513,12255,35359,19604,18443,28896,23073,27351,17724,15585,13375,18550,25285,24372,2580,24058,23984,28955,9830,29254
CHANDIGARH,4,,,,,,,,,,0,0,0,0,0,12,96,56,-164,0,0,0,2,1,0,0,9,1,0,0
UTTARAKHAND,5,3708,19206,44296,35300,42222,37263,39178,29892,45659,37591,40303,83703,6139,7619,15195,17739,42814,59794,45229,35930,48805,41616,43462,37406,464,14216,55627,32016,11097
HARYANA,6,12492,20863,50670,28200,33280,19395,13532,13117,10884,15701,25845,33101,11282,18992,43783,43677,25881,22401,21784,17732,20036,26150,24147,14984,4354,28961,50249,38432,34827
RAJASTHAN,8,187021,852865,1565136,679725,335368,188375,43575,72853,168836,182029,104064,144352,1155773,1371093,807604,253952,121260,104983,49897,96838,173693,218024,139491,-291222,341346,878785,964715,352287,135034
UTTAR PRADESH,9,124894,890005,1663538,1009541,734409,487702,406852,398765,354567,308874,230335,689147,100634,429081,1090700,1088485,375979,595892,313735,300475,262450,260062,286166,-222797,217481,1246703,1006842,507889,401001
BIHAR,10,1278,33498,86954,109465,121009,82897,130703,107263,62578,38632,78357,807947,1422,71147,526735,198296,176064,219112,137956,126513,87211,114321,230770,19006,117492,279555,343681,172324,142186
SIKKIM,11,1651,1316,3247,2911,11664,4962,4110,2475,1627,3519,6482,10500,1729,2144,4483,5843,6097,5135,1973,2428,4023,4933,8014,7734,667,1799,2559,2936,8492
ARUNACHAL PRADESH,12,0,0,0,0,0,2183,198,0,0,0,0,796,0,0,0,965,2389,18267,12398,8209,6428,3952,38669,9727,0,0,0,0,0
NAGALAND,13,,,,,,,,,,228617,770,137708,0,0,16949,73734,8160,4210,105589,23040,255,73257,63587,6959,0,0,16741,43786,149711
