state,ccode,persondays042011,persondays052011,persondays062011,persondays072011,persondays082011,persondays092011,persondays102011,persondays112011,persondays122011,persondays012012,persondays022012,persondays032012,persondays042012,persondays052012,persondays062012,persondays072012,persondays082012,persondays092012,persondays102012,persondays112012,persondays122012,persondays012013,persondays022013,persondays032013,persondays042013,persondays052013,persondays062013,persondays072013,persondays082013
National,0,24500000,94100000,187000000,157000000,146000000,102000000,96700000,115000000,117000000,138000000,190000000,472000000,56500000,136000000,245000000,221000000,147000000,110000000,114000000,108000000,108000000,150000000,206000000,259000000,35900000,103000000,181000000,160000000,146000000
JAMMU AND KASHMIR,1,461,34716,188532,263275,462299,833285,1117708,1031019,1347711,1765134,2392133,6782060,184294,297520,606401,1122152,1204272,1355881,1801650,1593493,2450149,2617678,3977964,6869602,75291,341630,490221,763473,951960
HIMACHAL PRADESH,2,44329,924830,2045398,2000523,2417019,2144310,1916181,1708168,2119303,2388627,2187990,6213588,284084,1197933,2439122,2818465,2053415,1439337,2050543,1624819,2028683,2148311,3170101,2682867,360952,1257233,1793103,1694091,2098401
PUNJAB,3,269234,565207,895536,513488,572601,303118,98833,499707,511381,335913,521184,1352182,261385,257568,528329,534345,656820,441257,454653,411943,565775,857882,547756,841384,267895,408053,517200,228577,573947
CHANDIGARH,4,,,,,,,,,,0,0,0,0,0,28,239,327,-594,0,0,0,0,5,11,0,240,46,0,0
UTTARAKHAND,5,55264,318929,954601,907203,1252602,1247619,1398763,1209363,2002641,1845140,2174040,5668247,113808,158575,326832,441761,1173600,1835646,1621417,1336365,1902908,1904118,2417890,2822309,6990,333488,1307861,833161,385434
HARYANA,6,230488,415036,1072182,846319,1118853,760687,599157,623218,578332,843952,1382638,2416544,179064,350650,1005933,1283050,1020409,968163,997937,849536,956238,1347071,1629759,2084103,60146,467226,988938,1015392,1185597
RAJASTHAN,8,1836190,17000000,42700000,36400000,21500000,11400000,5935070,4499270,8074050,5508176,21000000,34900000,9671193,27100000,54700000,30200000,9788623,5340846,4600239,4224042,8465642,21300000,24400000,18300000,4543135,19500000,39200000,19700000,8449442
UTTAR PRADESH,9,1707025,14600000,34600000,27400000,25100000,18800000,18900000,20700000,20300000,18900000,15300000,49100000,1310063,6140435,19600000,24000000,8238169,7927877,9711957,8920435,10800000,13000000,12900000,15100000,2158136,16800000,23200000,16800000,16500000
BIHAR,10,16150,774625,2253195,3136396,3882457,2181850,4656028,3667257,1980622,1397317,3153031,35600000,19997,1683990,15500000,7157320,5617897,6721412,5730470,5840206,4121664,5004649,8790520,16500000,2123810,7404689,11300000,6331045,6254933
SIKKIM,11,24616,35587,108082,112713,399940,189986,210342,176908,123169,239042,466014,1189446,35880,55073,153863,195069,212037,225373,107956,124267,168996,301833,650981,1083397,10225,39858,62583,102844,244909
ARUNACHAL PRADESH,12,0,0,0,0,0,13098,1386,0,0,0,0,37240,0,0,0,8877,21616,261229,375071,216363,64432,144891,652526,819784,0,0,0,0,0
NAGALAND,13,,,,,,,,,,8466503,79760,16900000,0,0,352664,1526797,182740,50057,3357920,1217763,-46579,2911759,3187922,448137,0,0,483786,529577,2679283
MANIPUR,14,0,60981,327347,604139,481739,546721,989167,1683765,777733,879732,711265,13500000,120,13069,320567,2041191,713428,877917,1029748,3405176,1189348,2089190,1507764,2696061,0,0,69658,372231,410865
MIZORAM,15,0,91880,290652,383312,2335927,662385,1206461,324650,804789,560733,595673,5028887,0,0,0,80022,697088,4006061,2893576,789037,188958,1920453,1457635,709526,0,0,433034,460597,115110
TRIPURA,16,25087,1430008,3263139,3184147,5172788,3758663,2894802,6221346,4679131,3724662,6287976,8371092,72929,420258,3354988,6842132,6225305,2778511,3784462,7056214,7805715,3616182,3561214,6242767,5252,210295,2453603,3482724,4396667
MEGHALAYA,17,0,36761,98379,341469,550376,989484,1616667,2164838,2003310,1736304,1739917,4888671,103164,121693,462245,998574,2866061,1196066,1074504,1223996,720364,2013633,1160692,1499859,0,0,129585,554565,1514592
ASSAM,18,607771,1657230,2906699,2195014,3204852,1998653,2459586,2248567,1881444,3435059,4806571,7945397,1124934,1745014,1909793,2185867,2800982,1932647,1514748,3083793,3066948,1874850,3770974,5953330,413273,996307,3079612,2869940,2373379
WEST BENGAL,19,572935,4381218,6695949,4957324,4990788,3325180,4743565,5646263,8528218,16200000,26800000,56400000,7801778,15500000,17300000,25000000,18000000,11900000,8243329,8747838,9479588,14400000,26600000,28800000,2693042,7065787,7639090,3642351,4182084
JHARKHAND,20,2803163,7021457,7581734,4725479,3584309,2663253,2945210,3579610,4350499,4906559,3110244,12800000,4676105,6433732,5513382,5451791,3331624,2935836,2082836,2347696,2759518,4420251,6976594,8131907,3488366,5340298,5555496,3812243,3024974
ODISHA,21,1608218,3064127,6658588,6025742,3564873,1814975,1835875,2486708,3478309,4145239,3928567,6763685,5968929,7517694,7082248,3888882,1349262,1713747,1106718,1617950,2329829,4742434,7773168,9425537,4825407,9100546,7932388,2849709,2617941
CHHATTISGARH,22,4933113,18200000,26600000,11700000,3474147,1547955,2285707,2558121,4406384,7668829,12500000,25400000,6514516,14800000,20500000,12400000,4040392,2008184,2731191,4278753,6022231,12600000,15900000,16500000,11200000,18700000,19300000,2554818,1429927
MADHYA PRADESH,23,672893,4851920,13100000,16800000,16800000,9383206,7450457,9672101,10500000,12600000,15400000,40200000,2947127,6481250,13200000,16900000,13700000,7643088,5423527,6922400,5969221,6232291,12900000,12800000,421871,2888562,7622919,4484507,3143599
GUJARAT,24,675874,2275661,4706486,3794737,3122318,2175543,1318883,1733490,1708432,1920363,3338742,4351792,1313631,2392123,4637176,2922975,1846042,1543697,1735433,1161346,1470939,2636071,3852643,2493226,1105561,3906523,2609047,776126,624399
DAMAN & DIU,25,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,26,,,,,,,,,,0,0,0,0,0,25,0,0,0,0,0,0,0,0,-3,0,0,0,0,0
MAHARASHTRA,27,79873,634408,2838430,3547764,5462883,4878498,3561305,4047011,3327384,4877347,8006984,23900000,1241993,3252831,6762465,9567263,13700000,7836476,5783720,6492170,4660757,5172842,6868309,10200000,2012662,5641214,8754724,6553286,4023169
KARNATAKA,29,207931,922583,1453786,1570348,2380763,3123704,3730763,4496205,5480236,7682358,13700000,25200000,269281,603114,1084791,1511101,2167791,2296480,4070886,4247412,4183613,7488556,13900000,20400000,39435,137307,448503,1393768,3464551
GOA,30,20160,20276,39839,35144,33690,26185,33263,29666,27131,18034,12073,15440,2935,2747,1913,4783,9820,6167,4538,10117,2652,0,0,10257,0,1650,2291,3538,4503
LAKSHADWEEP,31,,,,,12503,33980,11872,14441,21141,11447,16773,15418,1322,816,5575,2606,2108,4524,2544,4668,2419,9617,3297,7952,304,255,4600,272,1610
KERALA,32,175,182819,1838351,3201033,5622502,4164219,5265397,6796285,8305418,7650495,9704065,10500000,497171,2323036,6034815,8673893,5778005,5805655,8656732,8311204,9056565,10400000,11200000,6927587,117580,1253768,3059984,4058535,8579049
TAMIL NADU,33,8077476,14600000,23400000,22500000,28500000,23100000,19300000,26900000,19800000,18100000,30900000,66300000,11900000,37400000,61700000,53300000,39600000,28400000,32400000,21500000,17500000,19200000,26200000,58800000,0,1177591,32600000,73600000,66600000
PUDUCHERRY,34,,,,51432,118071,328929,179190,24334,65681,35202,35469,231238,34199,22177,120381,178390,263456,78487,122373,33137,514,0,9902,3910,0,46544,140653,171097,164367
ANDAMAN AND NICOBAR,35,1222,0,24886,74453,47331,51035,71001,47716,57516,27107,100425,311508,0,8253,15218,13401,15550,36723,37424,133063,70218,37258,107505,22079,0,6576,17867,18208,13651
