state,ccode,persondaysruralhh042011,persondaysruralhh052011,persondaysruralhh062011,persondaysruralhh072011,persondaysruralhh082011,persondaysruralhh092011,persondaysruralhh102011,persondaysruralhh112011,persondaysruralhh122011,persondaysruralhh012012,persondaysruralhh022012,persondaysruralhh032012,persondaysruralhh042012,persondaysruralhh052012,persondaysruralhh062012,persondaysruralhh072012,persondaysruralhh082012,persondaysruralhh092012,persondaysruralhh102012,persondaysruralhh112012,persondaysruralhh122012,persondaysruralhh012013,persondaysruralhh022013,persondaysruralhh032013,persondaysruralhh042013,persondaysruralhh052013,persondaysruralhh062013,persondaysruralhh072013,persondaysruralhh082013
National,0,0.145164,0.5580576,1.107224,0.9324676,0.8668509,0.6080166,0.5736997,0.680741,0.6954935,0.8179312,1.129725,2.801416,0.3351772,0.8083394,1.454428,1.312681,0.8734859,0.6499105,0.6736729,0.6388838,0.6405903,0.8915622,1.222236,1.538189,0.2131339,0.6110025,1.074907,0.946646,0.8664923
JAMMU AND KASHMIR,1,0.0002968,0.0223479,0.1213647,0.1694795,0.2975983,0.5364152,0.7195083,0.6637036,0.8675694,1.136279,1.539901,4.365853,0.1186366,0.1915242,0.3903619,0.7223691,0.7752327,0.8728288,1.159786,1.025788,1.577248,1.685092,2.560757,4.422207,0.0484675,0.2199194,0.3155727,0.4914747,0.6128105
HIMACHAL PRADESH,2,0.0337742,0.704627,1.558387,1.524196,1.841524,1.633748,1.459936,1.301451,1.614695,1.819892,1.667027,4.734126,0.2164433,0.9127039,1.858364,2.147386,1.564495,1.096629,1.562307,1.237948,1.545651,1.636796,2.415297,2.044074,0.2750089,0.9578845,1.366163,1.290726,1.59877
PUNJAB,3,0.0801742,0.1683109,0.2666783,0.1529097,0.1705127,0.0902644,0.0294311,0.1488059,0.1522823,0.1000303,0.1552014,0.4026613,0.0778369,0.0767002,0.1573291,0.1591206,0.195592,0.1314003,0.1353894,0.122671,0.16848,0.2554655,0.1631142,0.2505526,0.0797755,0.1215126,0.1540151,0.0680671,0.1709135
CHANDIGARH,4,,,,,,,,,,0,0,0,0,0,0.0039216,0.0334734,0.0457983,-0.0831933,0,0,0,0,0.0007003,0.0015406,0,0.0336134,0.0064426,0,0
UTTARAKHAND,5,0.0387794,0.2237963,0.669855,0.6365952,0.8789659,0.8754693,0.9815288,0.8486246,1.405277,1.294757,1.52555,3.977477,0.0798604,0.111274,0.229342,0.309989,0.8235292,1.288095,1.137768,0.9377434,1.335293,1.336143,1.696663,1.980448,0.004905,0.2340125,0.9177418,0.5846391,0.2704637
HARYANA,6,0.0757249,0.1363565,0.3522562,0.2780509,0.3675896,0.2499172,0.1968479,0.2047529,0.190006,0.2772732,0.4542539,0.7939349,0.0588299,0.1152031,0.3304907,0.4215351,0.3352467,0.3180817,0.3278637,0.2791078,0.3141638,0.4425687,0.5354434,0.6847142,0.0197605,0.1535031,0.3249071,0.3335983,0.3895178
RAJASTHAN,8,0.1933869,1.795684,4.501655,3.833528,2.262589,1.200796,0.6250796,0.4738616,0.8503562,0.5801193,2.213364,3.672417,1.018567,2.853546,5.758381,3.185389,1.030934,0.5624961,0.4844956,0.4448747,0.8915986,2.240506,2.564861,1.929811,0.4784814,2.053574,4.13281,2.071925,0.8898924
UTTAR PRADESH,9,0.0664576,0.5670101,1.345487,1.064901,0.9766179,0.7336575,0.7355524,0.8049468,0.7885765,0.7356653,0.5965658,1.913105,0.0510031,0.2390582,0.7634621,0.9330311,0.3207268,0.3086465,0.378104,0.3472886,0.4209994,0.5046234,0.5023587,0.5892544,0.0840201,0.6521429,0.902773,0.6530443,0.6425541
BIHAR,10,0.0009577,0.0459365,0.1336182,0.1859934,0.2302361,0.1293873,0.2761101,0.2174744,0.1174541,0.0828632,0.1869799,2.109762,0.0011859,0.0998634,0.9197758,0.4244408,0.3331505,0.3985907,0.3398263,0.3463338,0.2444214,0.2967839,0.5212923,0.9768632,0.1259454,0.4391102,0.668692,0.3754413,0.3709278
SIKKIM,11,0.263871,0.3814746,1.158584,1.208226,4.287154,2.036553,2.25476,1.896364,1.320309,2.562409,4.995433,12.75026,0.3846154,0.5903546,1.649333,2.091041,2.272929,2.415884,1.157233,1.332079,1.811551,3.235497,6.978186,11.61347,0.1096068,0.4272575,0.670858,1.102435,2.6253
ARUNACHAL PRADESH,12,0,0,0,0,0,0.0654213,0.0069227,0,0,0,0,0.1860047,0,0,0,0.0443384,0.1079666,1.304775,1.873388,1.08068,0.3218221,0.7236951,3.259208,4.094621,0,0,0,0,0
NAGALAND,13,,,,,,,,,,30.51091,0.2874328,61.01665,0,0,1.270903,5.50215,0.6585439,0.1803914,12.10101,4.388477,-0.1678577,10.49317,11.48838,1.61496,0,0,1.74343,1.908448,9.655387
MANIPUR,14,0,0.180359,0.96817,1.786817,1.424804,1.616996,2.925586,4.979947,2.300243,2.601918,2.103656,39.78157,0.0003549,0.0386532,0.9481173,6.03708,2.110053,2.59655,3.045609,10.07124,3.517647,6.179043,4.459402,7.97394,0,0,0.2060223,1.10092,1.215185
MIZORAM,15,0,0.8683325,2.746872,3.622576,22.0762,6.260018,11.40193,3.068177,7.605839,5.299333,5.629541,47.52662,0,0,0,0.7562658,6.587986,37.86018,27.34639,7.456971,1.78579,18.14967,13.77571,6.705534,0,0,4.092485,4.352975,1.087873
TRIPURA,16,0.0406872,2.31925,5.292304,5.164191,8.389457,6.095966,4.694918,10.09005,7.588822,6.040822,10.19812,13.57661,0.1182795,0.6815931,5.441268,11.09687,10.09648,4.506312,6.137808,11.44408,12.65965,5.864884,5.775734,10.1248,0.0085179,0.3410657,3.979362,5.648436,7.130709
MEGHALAYA,17,0,0.0853769,0.2284839,0.7930571,1.278241,2.298063,3.754687,5.027807,4.65266,4.032543,4.040934,11.35387,0.239597,0.2826304,1.073558,2.319175,6.656388,2.777847,2.495521,2.842714,1.673036,4.676636,2.695692,3.483402,0,0,0.3009594,1.28797,3.51762
ASSAM,18,0.1121167,0.3057125,0.5362046,0.4049186,0.5912054,0.3686955,0.4537247,0.4147976,0.3470737,0.6336722,0.8866777,1.465703,0.2075188,0.3219062,0.3523033,0.4032313,0.5167027,0.3565193,0.2794286,0.5688735,0.565766,0.3458573,0.6956391,1.098223,0.0762373,0.1837907,0.5681022,0.5294235,0.437822
