state,ccode,pctscpersondays042011,pctscpersondays052011,pctscpersondays062011,pctscpersondays072011,pctscpersondays082011,pctscpersondays092011,pctscpersondays102011,pctscpersondays112011,pctscpersondays122011,pctscpersondays012012,pctscpersondays022012,pctscpersondays032012,pctscpersondays042012,pctscpersondays052012,pctscpersondays062012,pctscpersondays072012,pctscpersondays082012,pctscpersondays092012,pctscpersondays102012,pctscpersondays112012,pctscpersondays122012,pctscpersondays012013,pctscpersondays022013,pctscpersondays032013,pctscpersondays042013,pctscpersondays052013,pctscpersondays062013,pctscpersondays072013,pctscpersondays082013
National,0,20.49104,20.96031,21.08256,21.6194,22.21107,22.77415,22.62708,22.81667,21.50218,20.06322,21.79729,20.12439,21.23896,22.07109,22.68867,22.94517,22.48338,21.972,21.40733,19.47187,20.12674,19.24496,19.69615,21.18659,16.6309,19.96528,21.80683,25.11466,26.29748
JAMMU AND KASHMIR,1,0,7.538797,4.829516,3.852712,4.202525,4.628097,6.711565,6.979597,6.435894,6.578513,6.691707,8.904408,2.3,3.676519,5.895657,4.463327,4.371519,4.077794,4.671829,4.86995,4.453345,7.148824,7.073549,6.701853,0.28,2.891629,3.715333,2.74801,4.961093
HIMACHAL PRADESH,2,35.08,28.72953,30.37592,29.33835,30.92996,30.5466,32.17923,33.31208,28.86595,29.05309,29.76346,29.27947,31.25,30.92834,30.78101,29.09049,30.20563,29.21583,30.12981,28.66047,29.00589,24.70913,26.00876,27.6193,27.87,28.19178,28.82391,28.30918,28.60165
PUNJAB,3,73.71,78.12428,80.00334,81.20621,80.86964,82.91878,69.99181,70.01147,74.05501,78.23365,74.89989,77.34476,80.03,78.05549,81.01242,75.65929,80.50256,76.3972,78.74895,76.27961,77.9012,77.93446,82.1986,78.66004,82.54,85.14074,82.6797,71.42342,75.95187
CHANDIGARH,4,,,,,,,,,,,,,,,64.29,38.4949,30.28275,35.19,,,,,0,0,,0,0,,
UTTARAKHAND,5,13.78,19.40001,17.99928,19.56489,20.81881,22.74474,18.19086,17.84595,17.88643,16.1978,18.49555,17.609,18.99,21.99596,20.85,19.71605,17.03776,18.54587,19.65436,17.2019,17.81075,17.77523,16.97649,17.87934,18.73,19.06692,18.44244,20.89316,23.29223
HARYANA,6,49.51,46.18156,53.92244,52.2174,49.5046,50.2806,45.69186,47.65347,48.81232,50.05797,47.70443,50.00054,48.21,51.76006,56.74268,55.46678,55.03762,50.19361,46.07042,46.24663,48.10913,50.2495,49.52091,49.67315,54.4,52.57146,56.2452,54.21719,51.88816
RAJASTHAN,8,17.73,14.1743,15.58697,17.44145,17.79453,20.05428,19.46686,17.13416,17.7553,13.50476,17.09488,16.55817,17.26,14.5461,16.9157,20.55497,24.97585,27.62439,21.03665,18.70483,18.37,17.95779,18.23798,20.09504,15.73,14.8669,15.9331,21.36694,34.70121
UTTAR PRADESH,9,29.85,30.77728,31.68015,31.67441,31.84051,32.208,32.3317,32.29739,31.46072,31.1423,31.57891,30.84619,36.56,35.64999,33.47792,31.60761,33.08388,34.31607,36.20823,34.95318,33.83873,33.42635,33.46011,32.53872,34.07,33.0992,33.22816,33.22,33.72238
BIHAR,10,25.95,24.57186,25.72129,26.11969,25.44305,25.20103,23.39209,25.97954,26.06075,21.11711,26.96675,24.07489,18.93,28.44162,25.46655,22.78756,25.04014,22.1245,23.4372,24.10465,21.83434,23.14232,25.26021,23.99944,23,25.90821,27.93527,28.46732,32.72519
SIKKIM,11,4.18,5.787128,4.071231,3.75195,4.85104,4.249108,6.042156,5.440081,6.684404,3.829841,3.661178,4.462296,3.52,3.404395,4.102363,4.581606,3.780307,5.645979,5.646438,4.232859,3.642156,4.115851,4.575658,4.582979,3.42,3.897484,3.745992,4.629156,4.1988
ARUNACHAL PRADESH,12,,,,,,0,0,,,,,0,,,,0.21,0.1253599,0.0048252,0.0022222,0.01,0.1570679,0.2462002,0,0.03,,,,,
NAGALAND,13,,,,,,,,,,1.48,0.4085107,0.1909599,,,0.01,0.0223098,0.02,0.02,0.0362904,0.03,0.0299999,0.03,4.066628,0,,,0.02,2.02921,0.5049291
MANIPUR,14,,0,0.925305,0.4514442,0.9778228,1.153574,0.7995695,0.2345796,0.9617654,1.815138,1.415777,0.4529777,0,3.481678,0.6805604,1.31358,3.144726,0.5505388,0.6052095,0.2977958,1.676372,1.081811,0.8150724,1.912624,,,2.3,3.831406,1.763552
MIZORAM,15,,0.01,0.01,0.01,0.0232785,0.02,0.02,1.487962,0.0342031,0,0.09,0.2121478,,,,0.01,0,0.0119398,0.01,0.01,0.01,0.01,0.0925504,0.02,,,0.01,0.0294016,0.02
TRIPURA,16,21.4,16.41404,17.41093,15.98838,16.39196,19.69508,17.94152,17.69369,18.02914,19.37466,18.69951,18.52405,12.83,16.01028,16.88199,16.75687,16.90303,17.08352,17.95671,18.05857,17.94766,18.3282,17.09656,17.94748,32.94,11.54878,14.19131,16.43997,15.39
MEGHALAYA,17,,0,0.1098934,0.0381272,0.2552567,0.282274,1.276231,0.4221752,1.057303,0.7100002,0.7099997,0.5446569,1.11,0.0383109,0.2178464,0.0836684,1.101127,0.5677767,0.1485664,0.2355719,0.2049073,0.7006096,0.1584867,0.171544,,,0.24,0.7087945,1.011961
ASSAM,18,5.2,5.664691,5.219738,5.594927,5.001181,5.362893,5.859965,6.014733,5.581833,5.687333,5.234956,5.870386,6.07,6.382485,5.659339,6.02,6.264081,4.879302,5.017646,5.155802,5.922561,6.503007,5.91265,6.632175,6.72,8.474359,6.094127,4.756841,5.724968
WEST BENGAL,19,42.57,42.423,36.33304,33.67038,32.51307,34.21625,32.90546,31.97759,31.01304,33.75304,34.37387,33.10857,33.97,35.18759,35.90816,33.65952,32.28378,31.80584,33.34706,29.82671,29.25701,31.08911,31.96963,31.85848,34.37,36.8008,37.90644,35.63915,35.48379
JHARKHAND,20,10.39,12.76869,14.13329,13.35468,13.13174,14.02903,13.05365,12.0774,12.76932,11.65992,9.212332,13.18267,11.66,12.52341,12.88362,11.59017,12.35252,12.89577,12.58216,13.56635,12.40001,12.67116,11.55553,13.31565,11.75,13.12217,13.74513,13.55505,13.21015
ODISHA,21,19.71,19.46602,18.59705,17.14653,17.3523,16.30093,17.09306,16.87186,17.06986,17.10064,16.5106,17.1004,19.71,19.51266,19.36766,15.55783,16.78607,16.69234,17.09799,17.4684,16.43271,16.3341,16.0897,16.72889,18.25,18.37242,17.47577,15.24548,14.98613
CHHATTISGARH,22,10.8,12.00755,10.59138,11.34061,11.73035,9.912368,11.4707,8.393368,5.754957,5.878505,7.175733,8.574489,9.54,9.928869,10.11591,9.785083,11.21759,10.31009,8.405509,8.53501,7.304212,7.60798,8.00214,8.638737,9.61,10.61687,11.08131,8.137898,7.473109
MADHYA PRADESH,23,16.78,19.59255,20.47397,21.33324,22.48818,18.90906,18.87294,20.68999,19.757,20.90365,22.21674,22.16131,20.36,19.3417,21.47814,20.46284,17.88434,18.7166,16.58485,17.80916,18.14701,18.42826,18.81005,19.74592,19.56,18.48271,18.99291,19.29257,17.05151
GUJARAT,24,9.78,8.975859,8.34644,7.875302,6.486107,7.759017,6.863952,6.851864,8.293651,8.684127,7.980176,7.480906,8.63,8.134274,9.173587,8.982713,9.195139,11.54828,10.11449,8.060884,8.931344,7.69102,7.798049,6.563484,11.38,13.9845,7.305026,6.559445,5.678531
DAMAN & DIU,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADRA & NAGAR HAVELI,26,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,
MAHARASHTRA,27,8.44,7.280322,8.736746,6.608703,5.401217,5.894949,5.997169,5.721015,4.363736,4.519988,5.645401,5.851882,4.68,4.970182,4.690239,4.595869,7.411643,7.607913,7.275383,7.259899,9.041777,11.06678,7.874799,6.630923,5.72,6.629041,7.851921,7.870775,10.38833
KARNATAKA,29,15.64,15.90958,14.22458,15.1252,15.14725,15.24553,15.33535,16.05517,16.29538,16.05457,15.45877,15.80655,20.79,17.05807,19.02189,16.96155,16.49005,16.74824,16.15799,16.87826,17.33845,16.98728,16.9299,16.70587,16.09,17.77624,16.80055,15.14476,16.40642
GOA,30,3.51,6.062676,2.452617,3.859891,4.762219,3.404444,2.041718,2.445776,2.354149,1.120025,6.116745,3.904081,5.86,3.026239,2.226985,8.397094,3.909424,8.697568,2.447254,2.623604,0.5067897,,,0.8557025,,0.36,0,1.672012,3.051932
LAKSHADWEEP,31,,,,,0,0.1313502,0.1369938,0.0331452,0.5195274,0,0.3067579,0.2652672,0,0,0,0,0,0,0,0,0,0,0,0.4773441,0,0,0,0,0
