state,ccode,pctstpersondays042011,pctstpersondays052011,pctstpersondays062011,pctstpersondays072011,pctstpersondays082011,pctstpersondays092011,pctstpersondays102011,pctstpersondays112011,pctstpersondays122011,pctstpersondays012012,pctstpersondays022012,pctstpersondays032012,pctstpersondays042012,pctstpersondays052012,pctstpersondays062012,pctstpersondays072012,pctstpersondays082012,pctstpersondays092012,pctstpersondays102012,pctstpersondays112012,pctstpersondays122012,pctstpersondays012013,pctstpersondays022013,pctstpersondays032013,pctstpersondays042013,pctstpersondays052013,pctstpersondays062013,pctstpersondays072013,pctstpersondays082013
National,0,19.4168,21.16247,19.4823,17.14555,16.35924,13.62961,14.57117,15.5903,16.72615,22.3602,17.19576,19.98703,20.06401,18.35668,15.22502,13.1305,14.63141,16.46568,16.75447,18.52516,16.83681,21.30894,19.48805,15.75788,26.68476,21.21147,18.32666,9.746266,10.76908
JAMMU AND KASHMIR,1,0,2.006293,8.56554,11.19244,11.11165,14.54702,14.07044,11.78796,10.46647,12.61879,15.583,17.62358,4.46,10.14421,8.903165,7.249053,10.32683,17.80745,16.78179,12.96373,11.23689,13.0261,19.07005,20.95069,2.12,3.120718,5.863751,10.03421,25.02963
HIMACHAL PRADESH,2,2.42,5.8153,6.544295,7.262753,6.198766,8.296385,5.290631,6.408163,9.501526,5.675525,4.738476,4.540959,6.3,7.06703,4.556824,5.210877,9.889072,5.912366,7.358313,8.649886,6.602886,11.03324,5.976091,4.918623,6.19,10.32159,7.935114,5.525952,6.329794
PUNJAB,3,0.05,0.05,0.05,0.05,0.05,0,0.04,0.04,0.04,0.04,0,0.0776148,0.03,0.0501482,0.0201775,0.0595994,0.0740801,0.05,0.05,0,0.04,0.04,0.140733,0.05,0,0.0662608,0.0630694,0.1121989,0.025229
CHANDIGARH,4,,,,,,,,,,,,,,,0,4.189331,5.802661,4.88,,,,,0,0,,0,4.352174,,
UTTARAKHAND,5,0.54,4.106771,3.760959,4.079707,4.194209,2.575404,4.53106,3.334169,3.506634,2.052253,2.374827,2.007511,7.94,5.861592,0.9181101,0.7794209,2.681919,3.025414,3.284693,3.277085,1.856131,2.001625,2.007979,3.523964,0.52,6.390522,3.283013,2.917122,8.330447
HARYANA,6,0,0.0311069,0.0039793,0.01,0.0429165,0.02,0.02,0.02,0,0.0939885,0.02,0.02,0,0.0151066,0.0405318,0.0080313,0,0.2482675,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0
RAJASTHAN,8,28.89,37.03156,30.27073,22.51241,21.02991,20.07112,21.49737,21.63764,23.05396,36.43696,22.63259,17.42537,31.51,37.10062,26.06369,16.1502,11.84984,15.15337,22.54066,25.60959,24.21184,22.09704,20.70531,21.47193,37.05,37.76514,33.93698,18.26217,14.19784
UTTAR PRADESH,9,1.61,1.241322,1.338832,0.9769985,1.282334,1.0904,1.2,1.356399,1.220001,1.22,1.643193,1.25,0.8100001,1.01627,0.7868099,0.9251657,1.815209,1.433774,1.218371,1.464847,0.8519008,0.8363286,0.9650614,0.9590621,0.67,0.794172,0.9615448,0.9150967,1.02701
BIHAR,10,7.04,2.548265,1.748368,1.073556,1.494081,1.790603,2.031881,3.204307,2.415382,2.856852,1.878109,1.571957,4.31,1.335088,1.924931,1.631642,1.426328,2.16694,1.661875,1.624659,2.024281,3.166506,1.608774,1.769627,2.38,2.547287,2.067196,2.141417,2.079851
SIKKIM,11,36.6,42.96085,48.1762,43.53515,38.59578,34.90141,28.99632,29.969,24.12133,34.84993,34.65365,37.22049,38.01,31.60219,28.67243,27.49787,30.38684,28.00509,37.06872,32.93712,57.55963,42.99561,37.90369,39.83792,39.41,29.10641,35.17059,33.47286,31.97363
ARUNACHAL PRADESH,12,,,,,,99.86,100.069,,,,,100.005,,,,84.67,95.78606,98.46867,73.26332,94.5103,96.59059,88.62723,92.45082,75.67924,,,,,
NAGALAND,13,,,,,,,,,,89.87,99.51292,93.75198,,,99.94,85.80831,90.6042,99.62119,94.92114,99.30023,99.52339,88.39938,94.29819,86.49944,,,80.31,91.48504,94.18504
MANIPUR,14,,2.59,59.10479,77.15516,31.76458,30.3529,63.28926,70.56021,67.33918,61.72297,48.87447,76.51839,0,0,3.539885,3.725783,37.35902,79.3632,65.40072,88.46744,69.04005,58.0059,45.19023,39.6506,,,2.43,1.682104,19.21352
MIZORAM,15,,99.85,99.7447,99.23055,99.55312,100.1082,89.95802,133.8258,100.0606,99.59999,99.60003,99.38014,,,,99.7,99.83377,99.82001,99.76693,99.15625,99.73962,99.85019,99.51236,99.72996,,,99.87,99.32674,99.67764
TRIPURA,16,17.94,45.99366,44.8015,48.76749,46.50472,39.89156,44.08588,44.31604,41.48704,34.11435,41.28562,37.95177,54.55,54.7495,43.92672,45.54436,46.41103,47.15673,42.71191,36.42581,40.43288,41.27173,44.31157,41.20465,47.79,63.10311,53.46152,48.53986,51.64779
MEGHALAYA,17,,100,98.94228,99.27188,98.94277,98.49902,94.75487,95.09843,87.52807,93.32591,94.68779,93.79852,95.42,99.3557,98.21889,98.7934,86.95591,97.61146,98.45482,98.47606,98.98614,95.00478,98.09502,98.61454,,,98.69,96.55575,96.11801
ASSAM,18,11.03,19.61312,26.47306,24.07094,30.39487,28.59624,21.82915,21.87266,22.84695,18.58005,19.55241,22.57859,11.7,12.42365,19.74837,16.86893,23.38106,26.02166,21.25642,18.84581,19.73883,22.13888,24.96591,21.18816,20.47,20.20119,15.80482,20.28706,18.53302
WEST BENGAL,19,7.23,12.86124,11.35746,10.58097,10.94724,12.62917,12.02287,11.04966,10.03059,9.599185,9.561708,10.00899,6.82,8.413389,8.655609,8.708511,9.884679,10.41024,11.1934,11.03741,10.16002,9.61375,10.46292,11.3365,7.78,9.395931,10.02042,10.97967,12.04211
JHARKHAND,20,45.63,38.0182,34.81776,34.71206,33.09047,35.43783,37.03179,41.13292,42.97519,42.36024,46.71125,40.448,41.48,39.75319,37.22373,43.44912,41.62015,39.88424,38.44489,41.74599,40.45,42.80001,42.66074,39.0364,34.5,33.47501,34.57908,35.391,36.93556
ODISHA,21,36.03,34.50515,33.77074,33.59869,35.1651,38.12339,37.76229,42.08062,41.95674,42.30782,44.98923,40.56759,31.61,27.48384,32.62089,28.50035,44.86764,43.91766,46.20545,45.17871,45.97307,45.86069,45.16541,40.22331,32.8,31.75944,33.85601,42.89433,45.61054
CHHATTISGARH,22,33.41,29.7238,30.809,30.61735,34.95609,33.46544,44.78124,50.08027,53.20848,51.35415,47.08692,41.3674,29.66,30.07768,31.56114,30.47763,36.87957,35.61108,41.63876,48.68984,50.19369,47.96963,44.51971,42.18454,35.28,30.56531,32.73791,42.62378,47.87447
MADHYA PRADESH,23,23.41,24.73088,24.79772,27.89355,29.17529,26.26187,27.41037,26.26674,27.40409,28.16273,27.24604,28.1589,25.36,27.16385,27.47477,29.47121,29.63858,31.1355,27.61878,25.781,27.13446,29.18176,22.64491,27.31376,29.94,27.80835,26.84652,24.98528,27.16046
GUJARAT,24,38.98,39.44692,41.47153,37.8432,42.66085,39.88804,33.16568,38.39915,35.24299,41.8624,43.03801,42.23851,38.95,42.34263,39.48479,35.24801,35.0235,28.98104,28.79512,31.64354,31.63354,41.64376,43.07573,47.61931,24.81,18.65158,31.28522,36.74513,45.72145
DAMAN & DIU,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADRA & NAGAR HAVELI,26,,,,,,,,,,,,,,,12,,,,,,,,,100,,,,,
MAHARASHTRA,27,8.73,15.81192,14.58192,15.63067,19.77253,12.29766,14.44355,16.37468,16.46756,22.7446,21.60251,16.0205,16.54,12.15963,13.38665,10.28916,12.81681,14.08386,13.54566,12.90832,16.19514,20.88186,20.93067,16.27557,18.45,17.54096,15.45592,15.97938,19.19711
KARNATAKA,29,10.44,8.075019,7.141221,8.031027,8.151959,7.774469,7.864109,9.123191,8.924837,8.208338,7.93816,8.432076,13.48,10.73168,9.270617,10.36886,9.99201,9.336444,9.094903,9.009572,8.757338,9.153563,9.019068,8.406583,12.51,8.596904,10.5992,10.00477,8.934581
GOA,30,16.2,18.55325,17.56135,18.98072,15.45149,19.04361,20.81766,34.59185,26.4395,29.46277,10.60191,25.76266,1.94,10.4206,15.88611,4.094663,3.148008,4.730053,25.53655,28.32079,34.06495,,,41.05023,,63.03,59.58957,50.693,24.15607
LAKSHADWEEP,31,,,,,99.67157,97.84724,97.29718,99.72501,98.06933,99.48212,98.8035,99.38744,98.34,99.99065,96.57655,97.23999,96.7684,98.28409,93.78171,96.82467,98.37864,99.71484,99.21757,98.079,95.72,99.9947,99.69996,99.87936,100.0248
KERALA,32,0,2.702585,1.765389,2.388384,2.160712,2.494386,2.991598,3.047475,2.6,2.318798,1.734919,2.21881,0.84,2.527485,2.875622,3.175221,2.637638,3.201017,3.09452,2.793669,2.382072,2.019311,1.888018,2.107052,0.21,2.441314,3.336116,3.397452,2.712495
TAMIL NADU,33,1.35,1.489935,1.164668,1.3,1.197708,1.113939,1.095356,1.22,1.313883,1.23,1.534477,1.315473,1.36,1.320475,1.258073,1.382419,1.165535,1.126576,1.27,1.269999,1.790403,1.299999,1.43309,1.448725,,2.1,1.167472,1.2,1.356622
PUDUCHERRY,34,,,,0.0236261,0.02,0.06631,0.1266725,0,0.06,0.5214307,0.08,0.1266563,0.02,0.02,0.0934157,0.0899085,0.08,0,0.07,0,0.0599961,,0.0599999,0.0600002,,0.05,0.0366909,0.060941,0.0817984
ANDAMAN AND NICOBAR,35,0,,0,0.0135066,1.041129,5.446189,0.6995627,1.865988,6.101122,0,0.6284196,6.9252,,0,0,10.70309,3.654017,27.0997,6.848867,0.5433018,1.219463,1.33287,1.826974,30.90535,,6.92,16.04491,51.20946,32.90826
